"Codi centre","Denominació completa","Codi naturalesa","Nom naturalesa","Codi titularitat","Nom titularitat","Adreça","Codi postal","Telèfon","FAX","Codi delegació","Nom delegació","Codi comarca","Nom comarca","Codi municipi","Nom municipi","Codi districte municipal","Nom DM","Codi localitat","Nom localitat","Zona educativa","Coordenades UTM X","Coordenades UTM Y","Coordenades GEO X","Coordenades GEO Y","Estudis","E mail centre","Estat","Grups en quarantena","cursos","linies","als_per_classe","num_alumnes","DATAGENERACIO","DATACREACIO","CODIMUNICIPI","ESTAT","GRUP_CONFIN","ALUMN_CONFIN","DOCENT_CONFIN","ALTRES_CONFIN","GRUP_ESTABLE","ALUMN_POSITIU","PERSONAL_POSITIU","ALTRES_POSITIU"
8000244,"Escola Doctor Ferrer",1,"Públic",1,"Dep. Educació","c. Barcelona. 23",8271,"938 305 377","938 305 377",1060,"Catalunya Central",7,"Bages",8010,"Artés",0,NA,1,"Artés","Bages",412956.696,4627650.886,1.9523232,41.795943436,"EINF2C EPRI","a8000244@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"18/09/2020 13:28",8010,"Obert",1,15,1,0,22,1,0,0
8000271,"Escola Santa Maria d'Avià",1,"Públic",1,"Dep. Educació","c. Escoles. s/n",8610,"938 230 376","938 231 806",1060,"Catalunya Central",14,"Berguedà",8011,"Avià",0,NA,1,"Avià",NA,402359.062,4659051.837,1.819588336,42.077470674,"EINF2C EPRI","a8000271@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"24/09/2020 15:24",8011,"Obert",1,23,1,0,14,2,0,0
8000347,"Escola d'Avinyonet del Penedès",1,"Públic",1,"Dep. Educació","pg. de la Grava. s/n",8793,"938 970 443","938 970 443",208,"Barcelona Comarques",3,"Alt Penedès",8013,"Avinyonet del Penedès",0,NA,2,"Avinyó Nou",NA,398170.99,4579482.188,1.782569346,41.3604101,"EINF2C EPRI","a8000347@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 9:26",8013,"Obert",0,0,0,0,5,0,0,0
8000359,"Escola La Muntanya",1,"Públic",1,"Dep. Educació","c. Núria. s/n",8591,"938 440 179",NA,508,"Maresme - Vallès Oriental",41,"Vallès Oriental",8014,"Aiguafreda",0,NA,1,"Aiguafreda","Vallès Oriental - Granollers",437731.574,4624311.738,2.250841007,41.768202726,"EINF2C EPRI","a8000359@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"15/09/2020 14:05",8014,"Obert",0,0,0,0,13,0,0,0
8000384,"Escola Lola Anglada",1,"Públic",1,"Dep. Educació","c. Riera de Canyadó. 53",8911,"934 642 540","933 895 532",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",437881.234,4589740.225,2.256227,41.456845661,"EINF2C EPRI","a8000384@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"12/09/2020 20:09",8015,"Obert",0,0,0,0,21,2,0,0
8000396,"Escola Ventós i Mir",1,"Públic",1,"Dep. Educació","ptge. Ventós i Mir. 29-31",8912,"933 895 523","933 295 523",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436984.454,4588423.606,2.245627785,41.444917282,"EINF2C EPRI","a8000396@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"15/09/2020 10:23",8015,"Obert",0,0,0,0,15,1,0,0
8000402,"Escola Feliu i Vegués",1,"Públic",1,"Dep. Educació","c. Sírius. 2A",8914,"933 871 241","933 871 241",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",434884.385,4588440.038,2.220487843,41.444897687,"EINF2C EPRI","a8000402@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"16/09/2020 10:44",8015,"Obert",0,0,0,0,21,0,0,0
8000499,"Sant Domènec Savio",2,"Privat",24,"Ordes i Cong.","c. Alfons XII. 111",8912,"933 877 254","933 996 612",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436462.567,4588287.268,2.239395027,41.443648185,"EINF2C EPRI ESO AA01 CFPM PFI","a8000499@xtec.cat","Grups en quarantena",2,NA,NA,NA,NA,2020-09-26 07:00:00,"22/09/2020 8:58",8015,"Obert",2,60,0,0,53,1,0,0
8000517,"Sant Andreu",2,"Privat",24,"Ordes i Cong.","c. Arnús. 16-18",8911,"933 847 710","933 847 712",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",437050.279,4588881.946,2.246367951,41.449050611,"EINF2C EPRI ESO BATX","a8000517@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"22/09/2020 20:25",8015,"Obert",1,0,0,0,46,0,0,0
8000578,"Nen Jesús de Praga",2,"Privat",26,"Soc. Mercantils","c. Barcelona. 44",8911,"933 842 413","933 842 413",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436906.025,4589170.597,2.244610924,41.45163909,"EINF2C EPRI ESO","a8000578@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"24/09/2020 10:10",8015,"Obert",1,20,2,0,13,0,1,0
8000608,"Montserrat",2,"Privat",26,"Soc. Mercantils","c. Carles I. 9-13",8917,"933 880 045","933 880 045",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436165.825,4589179.176,2.235748774,41.451657826,"EINF1C EINF2C EPRI","a8000608@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"15/09/2020 11:00",8015,"Obert",0,0,0,0,11,0,0,0
8000670,"Mare de Déu de la Salut",2,"Privat",22,"Fundacions","pg. de la  Salut. 36-38",8914,"933 876 243","393 876 243",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",435462.078,4587943.426,2.227455966,41.440471489,"EINF2C EPRI","a8000670@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 9:29",8015,"Obert",0,0,0,0,9,0,0,0
8000700,"Maristes Champagnat",2,"Privat",22,"Fundacions","c. Dos de Maig. 67",8912,"933 895 650","934 644 353",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436898.439,4588744.04,2.244564688,41.447796598,"EINF2C EPRI ESO BATX","a8000700@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"09/09/2020 18:39",8015,"Obert",0,0,0,0,0,0,0,0
8000712,"Llefià",2,"Privat",26,"Soc. Mercantils","c. Europa. 2 i 2 bis/c. Sèquia 1A i 1B",8913,"933 883 298","933 830 159",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",434572.442,4587696.181,2.216834398,41.438172632,"CFPM CFPS PFI","a8000712@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"24/09/2020 17:46",8015,"Obert",0,2,0,0,67,1,0,0
8000761,"Badalonès",2,"Privat",26,"Soc. Mercantils","c. Arbres. 17",8912,"933 895 716","934 642 674",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",437023.682,4588699.789,2.246068553,41.447407876,"EINF2C EPRI ESO BATX CFPM AA03 CFPS Adults","a8000761@xtec.cat","Grups en quarantena",3,NA,NA,NA,NA,2020-09-26 07:00:00,"24/09/2020 21:08",8015,"Obert",3,81,5,0,59,1,1,0
8000827,"Jesús Maria",2,"Privat",24,"Ordes i Cong.","c. Lepant. 3",8917,"933 874 696","933 991 619",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",435152.818,4588919.342,2.223649561,41.449236368,"EINF2C EPRI ESO","a8000827@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"24/09/2020 13:10",8015,"Obert",0,5,0,1,26,0,0,0
8000864,"Cultural",2,"Privat",26,"Soc. Mercantils","ptge. Pi i Gibert. 29-31",8913,"933 875 299","933 997 341",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",434887.068,4587505.902,2.220620633,41.436484414,"EINF1C EINF2C EPRI ESO","a8000864@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"18/09/2020 10:45",8015,"Obert",0,0,0,0,29,0,0,0
8000918,"Cultural",2,"Privat",41,"Persones Físiq.","pl. Marquès de Barberà. 13",8911,"933 840 451","934 643 185",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",437074.441,4589271.561,2.246616594,41.452561663,"EINF2C EPRI ESO BATX CFPM AA03 CFPS","a8000918@xtec.cat","Grups en quarantena",2,NA,NA,NA,NA,2020-09-26 07:00:00,"21/09/2020 17:43",8015,"Obert",2,57,2,1,45,2,1,0
8000921,"Arrels-Esperança",2,"Privat",22,"Fundacions","c. Provença. 7",8914,"933 876 199","934 603 078",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",435216.459,4587780.529,2.224533537,41.438984545,"EINF1C EINF2C EPRI ESO","a8000921@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"14/09/2020 23:34",8015,"Obert",0,0,0,0,52,0,0,0
8000943,"Garbí Pere Vergés",2,"Privat",22,"Fundacions","av. de les Palmeres. 5",8916,"933 954 311","933 955 921",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",437553.269,4591861.493,2.252080927,41.475925915,"EINF2C EPRI ESO BATX","a8000943@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 17:35",8015,"Obert",0,0,2,0,31,0,1,0
8000967,"Betúlia",2,"Privat",26,"Soc. Mercantils","c. Conquesta. 57-65",8912,"933 996 807","933 972 416",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436843.522,4588437.602,2.243939333,41.445032273,"EINF2C EPRI ESO","a8000967@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"24/09/2020 18:35",8015,"Obert",1,25,2,3,1,0,1,0
8000979,"López Torrejón",2,"Privat",26,"Soc. Mercantils","c. Roger de Flor. 115-117",8912,"934 606 253","934 606 253",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436582.495,4588309.863,2.240828188,41.443861178,"EINF2C EPRI","a8000979@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 22:12",8015,"Obert",0,0,1,0,9,0,0,0
8000980,"Ramiro de Maeztu",2,"Privat",26,"Soc. Mercantils","c. Ramiro de Maeztu. s/n",8913,"933 880 238",NA,208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",434499.949,4587771.29,2.2159586,41.438843203,"EINF2C EPRI ESO","a8000980@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"16/09/2020 11:33",8015,"Obert",0,0,0,0,13,0,0,0
8001029,"Boix",2,"Privat",26,"Soc. Mercantils","c. Rubió i Ors. 14-16",8915,"933 997 502","933 997 502",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436832.859,4590180.253,2.243629384,41.460727038,"EINF2C EPRI ESO","a8001029@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 15:23",8015,"Obert",0,9,1,0,13,1,1,0
8001030,"Cultural Fluvià",2,"Privat",26,"Soc. Mercantils","c. Fluvià. 64",8911,"934 640 731",NA,208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",437164.1,4589411.232,2.247675422,41.453826672,"EINF2C EPRI","a8001030@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"19/09/2020 17:12",8015,"Obert",1,26,1,1,10,1,0,0
8001066,"Maria Ward",2,"Privat",24,"Ordes i Cong.","c. Sant Frederic. s/n",8913,"933 872 898","934 607 886",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",434533.269,4588080.428,2.216323911,41.441630235,"EINF2C EPRI ESO","a8001066@xtec.cat","Grups en quarantena",2,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 11:18",8015,"Obert",2,56,0,0,26,2,0,0
8001108,"Mare de Déu de l'Assumpció",2,"Privat",22,"Fundacions","c. Sant Joan Evangelista. 22",8918,"933 871 554","933 834 468",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",435521.986,4587695.052,2.228199539,41.438239272,"EINF2C EPRI ESO BATX","a8001108@xtec.cat","Grups en quarantena",2,NA,NA,NA,NA,2020-09-26 07:00:00,"19/09/2020 7:17",8015,"Obert",2,0,0,0,45,0,0,0
8001133,"Arrels-Blanquerna",2,"Privat",22,"Fundacions","av. Roma. 29-31",8915,"933 951 657",NA,208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",437194.344,4590266.326,2.247948534,41.461530653,"EINF1C EINF2C EPRI ESO","a8001133@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"09/09/2020 18:39",8015,"Obert",0,0,0,0,0,1,0,0
8001145,"Lestonnac",2,"Privat",24,"Ordes i Cong.","c. Santa Joana de Lestonnac. s/n",8918,"933 871 295","933 871 295",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",435052.664,4587306.96,2.222623965,41.434706008,"EINF2C EPRI ESO","a8001145@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 12:20",8015,"Obert",1,13,1,0,25,0,0,0
8001157,"Minguella",2,"Privat",26,"Soc. Mercantils","c. Sta.Madrona.75 i Sta.Maria.30 i 34-36",8911,"933 892 287","933 842 913",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",437730.528,4589079.954,2.254490782,41.45088708,"EINF2C EPRI ESO","a8001157@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 18:23",8015,"Obert",0,0,0,0,0,5,1,0
8001170,"Santíssima Trinitat",2,"Privat",22,"Fundacions","c. Santiago. 57",8918,"933 874 854","934 603 715",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",434872.091,4587065.94,2.220488789,41.432520582,"EINF2C EPRI ESO","a8001170@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 8:33",8015,"Obert",1,32,1,0,15,4,2,0
8001297,"Laietània",2,"Privat",26,"Soc. Mercantils","c. Saragossa. 18 i 19",8912,"933 881 447",NA,208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436415.972,4588518.35,2.238812969,41.445725798,"EINF1C EINF2C EPRI ESO BATX","a8001297@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"24/09/2020 18:21",8015,"Obert",1,30,0,0,25,1,0,0
8001391,"Escola Planas i Casals",1,"Públic",1,"Dep. Educació","c. Muntaner. 2-18",8917,"933 951 406","933 951 406",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436305.01,4590147.12,2.237312895,41.460386888,"EINF2C EPRI","a8001391@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"14/09/2020 10:43",8015,"Obert",0,0,0,0,19,0,0,0
8001421,"Institut La Pineda",1,"Públic",1,"Dep. Educació","c. de la Batlloria. s/n",8917,"933 990 511","933 835 709",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436350.457,4589323.611,2.237943855,41.452973377,"ESO BATX CFPM AA03 CFPS PFI","a8001421@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"23/09/2020 19:56",8015,"Obert",1,16,0,0,46,2,0,0
8001431,"Institut Isaac Albéniz",1,"Públic",1,"Dep. Educació","parc Serentill. s/n",8915,"933 830 511","933 834 738",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436970.728,4589739.495,2.245326127,41.45676809,"ESO BATX PFI","a8001431@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"15/09/2020 16:09",8015,"Obert",0,0,0,0,23,0,0,0
8001443,"Institut Eugeni d'Ors",1,"Públic",1,"Dep. Educació","av. Maresme. 192-212",8918,"933 875 866","934 602 756",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",435145.583,4587388.207,2.223727324,41.435445285,"ESO BATX CFPM CFPS PFI","a8001443@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"25/09/2020 22:31",8015,"Obert",1,29,0,0,34,1,0,0
8001480,"EA Pau Gargallo",1,"Públic",1,"Dep. Educació","parc Serentill. s/n",8915,"933 997 652","933 873 334",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",436930.897,4589693.766,2.244854035,41.456353091,"BATX CFAM CFAS ESDI","a8001480@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"09/09/2020 18:39",8015,"Obert",0,0,0,0,0,0,0,0
8001509,"Escola Antoni Botey",1,"Públic",1,"Dep. Educació","av. Doctor Bassols. 77 A",8913,"933 872 589","933 872 589",208,"Barcelona Comarques",13,"Barcelonès",8015,"Badalona",0,NA,1,"Badalona","Badalona",434946.395,4587962.476,2.221281543,41.440601451,"EINF2C EPRI","a8001509@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"14/09/2020 12:38",8015,"Obert",0,0,0,0,18,0,0,0
8001522,"Escola Galceran de Pinós",1,"Públic",1,"Dep. Educació","av. Reina Elisenda. 2",8695,"938 244 116","938 244 116",1060,"Catalunya Central",14,"Berguedà",8016,"Bagà",0,NA,1,"Bagà",NA,406146.589,4678570.693,1.862222707,42.253692594,"EINF2C EPRI","a8001522@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"14/09/2020 16:50",8016,"Obert",0,0,0,0,0,0,0,0
8001534,"Escola Joan XXIII",1,"Públic",1,"Dep. Educació","c. Escoles. s/n",8550,"938 898 304","938 898 304",1060,"Catalunya Central",24,"Osona",8017,"Balenyà",0,NA,2,"Els Hostalets de Balenyà","Osona",436652.321,4629755.225,2.237276483,41.817142435,"EINF2C EPRI","a8001534@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"14/09/2020 15:26",8017,"Obert",0,0,0,0,19,0,0,0
8001583,"Escola Guillem de Balsareny",1,"Públic",1,"Dep. Educació","c. Carrilet. 8",8660,"938 396 188","938 396 188",1060,"Catalunya Central",7,"Bages",8018,"Balsareny",0,NA,1,"Balsareny","Bages",406740.708,4634991.713,1.876363761,41.861342461,"EINF2C EPRI","a8001583@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"21/09/2020 12:27",8018,"Obert",0,0,0,1,11,0,0,0
8001595,"Escola Baixeras",1,"Públic",1,"Dep. Educació","c. Salvador Aulet. 1",8002,"933 105 295","933 105 295",108,"Consorci d'Educació de Barcelona",13,"Barcelonès",8019,"Barcelona",1,"DM I - Ciutat vella",1,"Barcelona",NA,431418.712,4581581.65,2.179781021,41.382837911,"EINF2C EPRI","a8001595@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"15/09/2020 10:38",8019,"Obert",0,0,0,0,11,0,0,0
8001601,"Escola Parc de la Ciutadella",1,"Públic",1,"Dep. Educació","pg. de Circumval.lació. 5",8003,"933 195 847","933 190 811",108,"Consorci d'Educació de Barcelona",13,"Barcelonès",8019,"Barcelona",1,"DM I - Ciutat vella",1,"Barcelona",NA,432043.487,4581811.656,2.187226685,41.384962524,"EINF2C EPRI","a8001601@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"15/09/2020 10:21",8019,"Obert",0,0,0,0,11,0,0,0
8001649,"Escola Mossèn Jacint Verdaguer",1,"Públic",1,"Dep. Educació","c. Lleida. 32",8004,"934 240 201","934 240 201",108,"Consorci d'Educació de Barcelona",13,"Barcelonès",8019,"Barcelona",3,"DM III - Sants - Montjuïc",1,"Barcelona",NA,429320.146,4580541.621,2.154806442,41.373289088,"EINF2C EPRI","a8001649@xtec.cat","Grups en quarantena",1,NA,NA,NA,NA,2020-09-26 07:00:00,"16/09/2020 20:35",8019,"Obert",1,15,1,1,26,2,0,0
8001650,"Escola El Polvorí",1,"Públic",1,"Dep. Educació","camí del Polvorí. 8-10",8038,"933 327 496","933 327 496",108,"Consorci d'Educació de Barcelona",13,"Barcelonès",8019,"Barcelona",3,"DM III - Sants - Montjuïc",1,"Barcelona",NA,428312.092,4579480.531,2.1428788,41.36364306,"EINF2C EPRI","a8001650@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"15/09/2020 11:39",8019,"Obert",0,0,0,0,9,0,0,0
8001674,"Escola Can Clos",1,"Públic",1,"Dep. Educació","c. Pedrera del Mussol. 10-14",8038,"933 326 145","933 326 145",108,"Consorci d'Educació de Barcelona",13,"Barcelonès",8019,"Barcelona",3,"DM III - Sants - Montjuïc",1,"Barcelona",NA,428700.682,4579156.768,2.147562456,41.360761545,"EINF2C EPRI","a8001674@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"15/09/2020 9:51",8019,"Obert",0,0,0,0,6,0,0,0
